"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"LYON RD COMMUNITY ASSOCIATION","","","","50","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"LYONS FERRY HATCHERY","","","","53","Ground water","PO Box 278
Starbuck, WA 99359","","","Franklin"
"LYONS FERRY MARINA","","","","54","Ground water","PO Box 219
Starbuck, WA 99359","","","Columbia"
"LYONS FERRY STATE PARK","","","","55","Ground water","13753 SR 261
Starbuck, WA 99359","","","Franklin"
"La Capilla Restaurant","","","","100","Ground water","604 E Seltice Way
Post Falls, ID 83854","","","Spokane"
"Lake Alice Water Association","","","","90","Ground water","PO Box 262
Fall City, WA 98024","","","King"
"Lake Easton Resort","","","","81","Ground water","PO Box 7293
Covington, WA 98042","","","Kittitas"
"Lake Easton State Park East","","","","234","Ground water","PO Box 839
Ellensburg, WA 98926","","","Kittitas"
"Lake Easton State Park West","","","","143","Ground water","PO Box 839
Ellensburg, WA 98926","","","Kittitas"
"Lake Meridian Water District","","","","20,000","Surface water purchased","27224 144th Ave SE
Kent, WA 98042","","","King"
"Lake Quinault","","","","1,003","Ground water","PO BOX 14
QUINAULT, WA 98575","","","Grays Harbor"
"Lake Wenatchee Water District","","","","82","Ground water","PO Box 2813
Leavenworth, WA 98826","","","Chelan"
"Lakebay Marina Water System","","","","25","Ground water","14263 Calhoun Rd
Mount Vernon, WA 98273","","","Pierce"
"Lakes Community Church","","","","147","Ground water","6703 N Idaho Rd
Newman Lake, WA 99025","","","Spokane"
"Lakewood Garden Tracts Water Assoc","","","","33","Ground water","19115 Meadow Lake Rd
Snohomish, WA 98290","","","Snohomish"
"Lamb Weston - Paterson","","","","250","Ground water","PO Box 188
Paterson, WA 99345","","","Benton"
"Larson Park","","","","25","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Grant"
"Last Resort","","","","22","Ground water","2005 Tucannon Rd
Pomeroy, WA 99347","","","Columbia"
"Last Resort RV Park","","","","34","Ground water","1057 S Hi Lo Dr
Othello, WA 99344","","","Grant"
"Lattins Country Cider Mill & Farm","","","","61","Ground water","9402 RICH ROAD SE
OLYMPIA, WA 98512","","","Thurston"
"Laurel Lane MHC LLC","","","","75","Ground water","585 Bethel Ave Suite 202
Port Orchard, WA 98366","","","Pierce"
"Lawrence Orchards Farmworker","","","","25","Ground water","13000 Road D SW
Royal City, WA 99357","","","Grant"
"Lawrence U107 Farmworker Housing","","","","25","Ground water","13000 Road D SW
Royal City, WA 99357","","","Grant"
"Lazy Daze Water Association","","","","29","Ground water","PO Box 94
Conconully, WA 98819","","","Okanogan"
"Lazy F Camp & Retreat Center","","","","48","Ground water","16170 Manastash Rd
Ellensburg, WA 98926","","","Kittitas"
"LeNets Mobile Estates","","","","95","Ground water","PO Box 123
Port Orchard, WA 98366","","","Thurston"
"Legacy Resort at Frenchman Hills","","","","20","Ground water","1201 Basin
Warden, WA 98857","","","Grant"
"Lewis Co Water Sewer Dist #6","","","","740","Ground water","100 Lakeside Drive West
Mossyrock, WA 98564","","","Lewis"
"Liberty Market Water Supply","","","","25","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"Lighthouse Baptist Church","","","","25","Ground water","PO Box 116
Chimacum, WA 98325","","","Jefferson"
"Lineage Logistics","","","","290","Ground water","8411 Wembley Dr
Pasco, WA 99301","","","Benton"
"Little Butte  Water System","","","","101","Surface water","145 Little Butte Ranch Rd
Chelan, WA 98816","","","Chelan"
"Little Diamond -KOA-Thousand Trails","","","","100","Ground water","1002 MC GOWEN RD
NEWPORT, WA 99156","","","Pend Oreille"
"Littlerock Community Fellowship","","","","25","Ground water","6436 105th Avenue SW
Olympia, WA 98512","","","Thurston"
"Lookout Arts Quarry Water System","","","","56","Ground water","246 Old Hwy 99 N
Bellingham, WA 98229","","","Skagit"
"Lopez Farm and Cottages WS","","","","35","Ground water","Po Box 610
Lopez, WA 98261","","","San Juan"
"Los Reyes Inc","","","","200","Ground water","PO Box 1560
Tonasket, WA 98855","","","Okanogan"
"Lovitt Restaurant","","","","30","Ground water","149 Hwy 395 South
Colville, WA 99114","","","Stevens"
"Lowell Johnson Park Water System","","","","200","Ground water","10718 Anchor Pl
Anderson Island, WA 98303","","","Pierce"
"Lummi Island Congregational Church","","","","25","Ground water","PO Box 6
Lummi Island, WA 98262","","","Whatcom"
"Lynnwood Community Beach","","","","29","Ground water","PO Box 484
Belfair, WA 98528","","","Mason"
"Lynx H2A Housing","","","","25","Ground water","PO Box 394
Cle Elum, WA 98922","","","Grant"
"Lyons Water System","","","","28","Ground water","4846 Stratford Rd NE
Moses Lake, WA 98837","","","Grant"
"Lytle Water System","","","","153","Ground water","2960 East St
Wenatchee, WA 98801","","","Chelan"
"M & R WATER CO LADY DAWN ESTATES","","","","83","Ground water","Pattison Water Company Inc
PO BOX 3374
LACEY, WA 98509-3374","","","Thurston"
"M J TRAILER RANCH","","","","100","Ground water","1726 OLD HWY 97
OKANOGAN, WA 98840","","","Okanogan"
"MABANA SHORES ASSOCIATION","","","","68","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"MABERRY PACKING LLC","","","","256","Ground water","816 Loomis Trail Rd
Lynden, WA 98264","","","Whatcom"
"MABTON CITY OF","","","","2,290","Ground water","PO BOX 655
MABTON, WA 98935","","","Yakima"
"MAC THOM ORCHARDS","","","","84","Ground water","PO Box 259
Wenatchee, WA 98807","","","Grant"
"MACHIAS RIDGE HOMEOWNERS ASSOC.","","","","324","Surface water purchased","2214 145th Ave SE
Snohomish, WA 98290","","","Snohomish"
"MADRONA BEACH COMM WATER SYSTEM","","","","498","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"MADRONA BEACH SUPPLY","","","","50","Ground water","21971 N Hwy. 101
Shelton, WA 98584","","","Mason"
"MADRONA BEACH WATER CO INC","","","","67","Ground water","PO Box 123
Port Orchard, WA 98366","","","Thurston"
"MADRONA COMMUNITY INC","","","","112","Surface water","14144 Hillwood Dr
Bow, WA 98232","","","Skagit"
"MADRONA MORNINGSIDE BEACH","","","","23","Ground water","13091 NE Norht Shore Rd
Belfair, WA 98528","","","Mason"
"MADRONA PARK ","","","","25","Ground water","21971 N Hwy. 101
Shelton, WA 98584","","","Mason"
"MADRONA POINT","","","","108","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Pierce"
"MADRONA RIDGE HOMEOWNERS","","","","65","Ground water","PO Box 1989
Sequim, WA 98382","","","Clallam"
"MAGGIE LAKE WATER DISTRICT","","","","287","Ground water","PO Box 350
Tahuya, WA 98588","","","Mason"
"MAGNA VISTA WATER CORP","","","","56","Ground water","1087 Lewis River Rd PMB131
Woodland, WA 98674","","","Clark"
"MAHONEYVILLE WATER ASSOC","","","","60","Ground water","PO Box 1202
Freeland, WA 98249","","","Island"
"MAINLAND VIEW MANOR","","","","143","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Kitsap"
"MAINS FARM PROPERTY OWNERS","","","","358","Ground water","PO BOX 92
SEQUIM, WA 98382","","","Clallam"
"MAJESTIC MOBILE MANOR","","","","238","Ground water","PO Box 123
Port Orchard, WA 98366","","","Pierce"
"MALAGA WATER DISTRICT","","","","2,068","Ground water","PO Box 249
Malaga, WA 98828","","","Chelan"
"MALDEN WATER DEPT","","","","215","Ground water","PO Box 6
Rosalia, WA 99170-0006","","","Whitman"
"MALLARD BAY RESORT","","","","44","Ground water","PO Box 123
Port Orchard, WA 98366","","","Spokane"
"MALLARD COVE","","","","115","Ground water","PO Box 1989
Sequim, WA 98382","","","Clallam"
"MALLARD HAVEN WATER COMPANY","","","","29","Ground water","7050 Mallard Dr SE
Warden, WA 98857","","","Grant"
"MALONE","","","","181","Ground water","PO Box 780
Napavine, WA 98565","","","Grays Harbor"
"MANCHESTER WATER DISTRICT","","","","9,955","Ground water","PO BOX 98
MANCHESTER, WA 98353","","","Kitsap"
"MANHASSET SPECIALTY COMPANY","","","","142","Ground water","PO BOX 2518
YAKIMA, WA 98907","","","Yakima"
"MANOR FARM INN","","","","200","Ground water","NORTHWEST WATER SYSTEMS INC
PO BOX 123
PORT ORCHARD, WA 98366","","","Kitsap"
"MANSFIELD WATER SYSTEM","","","","380","Ground water","PO Box 218
Mansfield, WA 98830","","","Douglas"
"MANTHEYS COUNTRY MOBILE PARK","","","","120","Ground water","PO Box 217
Ferndale, WA 98248","","","Whatcom"
"MANY LAKES MOBILE HOME PARK","","","","37","Ground water","10 McCAMMON RD
TONASKET, WA 98855","","","Okanogan"
"MANZANITA BEACH","","","","93","Ground water","PO Box 123
Port Orchard, WA 98366","","","Thurston"
"MAPLE FALLS WATER COOP","","","","194","Ground water","PO Box 606
Maple Falls, WA 98266","","","Whatcom"
"MAPLE GLEN COMMUNITY ASSOCIATION","","","","130","Ground water","PO Box 363
Freeland, WA 98249","","","Island"
"MAPLE GROVE","","","","132","Ground water","PO BOX 92
SEQUIM, WA 98382","","","Clallam"
"MAPLE GROVE BEACH WATER ASSN","","","","41","Ground water","PO BOX 2680
STANWOOD, WA 98292-6309","","","Island"
"MAPLE HAVEN","","","","73","Ground water","PO BOX 2985
SILVERDALE, WA 98383","","","Clallam"
"MAPLE HILL PARK","","","","35","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"MAPLE HILL WATER SERVICES","","","","62","Ground water","62 Flume RD
WILLARD, WA 98605-9024","","","Skamania"
"MAPLE MANOR MOBILE HOME PARK","","","","120","Ground water","PO Box 4438
Tumwater, WA 98501","","","Pierce"
"MAPLE SHORES","","","","79","Ground water","PO Box 123
Port Orchard, WA 98366","","","Thurston"
"MAPLE VALLEY","","","","27","Ground water","NORTHWEST WATER SYSTEMS INC
PO BOX 123
PORT ORCHARD, WA 98366","","","Thurston"
"MAPLE VISTA","","","","57","Ground water","19531 36th Ave NE
Lake Forest Park, WA 98155-2621","","","King"
"MAPLEWOOD ADDITION WATER COOP","","","","435","Ground water","18308 SE 145th Street
Renton, WA 98059","","","King"
"MARBELLO","","","","245","Surface water purchased","7511 Greenwood Ave N, Unit #4011
Seattle, WA 98103-4627","","","Snohomish"
"MARBLE WATER SYSTEM","","","","94","Ground water","3383 Hwy 25 N, Lot 14
Northport, WA 99157","","","Stevens"
"MARBLEMOUNT RANGER STATION","","","","308","Ground water","7280 Ranger Station Rd
Marblemount, WA 98267","","","Skagit"
"MARCUS WATER DEPT","","","","191","Ground water","PO Box 98
Marcus, WA 99151","","","Stevens"
"MARCUS WHITMAN SCHOOL","","","","370","Ground water","PO Box 38
Cowiche, WA 98923","","","Yakima"
"MARDON RESORT","","","","153","Ground water","8198 Hwy 262 SE
Othello, WA 99344-9623","","","Grant"
"MARIANI WATER SYSTEM INC","","","","138","Ground water","PO Box 725
Enumclaw, WA 98022","","","King"
"MARINE ESTATES MUTUAL WATER ASSN","","","","38","Ground water","11205 SW Corbin Beach Road #2
Vashion Island, WA 98070","","","King"
"MARINE VIEW HOME OWNERS ASSN","","","","87","Ground water","PO Box 2061
Moses Lake, WA 98837","","","Grant"
"MARINERS COVE BEACH CLUB INC","","","","300","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"MARION WATER CO INC","","","","966","Ground water","PO Box 2043
Buckley, WA 98321","","","Pierce"
"MARKHOLT","","","","9","Ground water","139 KOONS RD
MOSSYROCK, WA 98564","","","Lewis"
"MARLIN HUTTERIAN","","","","134","Ground water","21344 Rd 18 NE
Marlin, WA 98832","","","Grant"
"MARQUEZ MOBILE HOME PARK","","","","120","Ground water","PO BOX 120
SUNNYSIDE, WA 98944","","","Yakima"
"MARSHALL COMMUNITY WATER ASSN","","","","74","Ground water","PO Box 64
Marshall, WA 99020","","","Spokane"
"MARSHALL LAKE RESORT","","","","31","Ground water","1301 Marshall Lake Rd
Newport, WA 99156","","","Pend Oreille"
"MARTELL MOBILE MANOR","","","","143","Ground water","PO Box 123
Port Orchard, WA 98366","","","Kitsap"
"MARTENS ADD MUTUAL WATER ASSOC","","","","98","Ground water","14717 Spanaway Loop Road
Spanaway, WA 98387","","","Pierce"
"MARTIN CREEK COMMUNITY ASSN","","","","108","Ground water","4 Norway Pines Dr
Tonasket, WA 98855-9433","","","Ferry"
"MARTIN WAY MOBILE HOME PARK","","","","81","Ground water","PO Box 123
Port Orchard, WA 98366","","","Thurston"
"MARTINEZ WATER SYSTEM","","","","35","Ground water","30323 Meridian Ave E
Graham, WA 98338","","","Pierce"
"MARVIN GARDENS-688","","","","112","Ground water","1230 Ruddell Rd SE
Lacey, WA 98503","","","Thurston"
"MARYHILL MUSEUM OF ART","","","","188","Ground water","35 Maryhill Museum Drive
Goldendale, WA 98620","","","Klickitat"
"MARYHILL STATE PARK","","","","1,133","Ground water","50 Hwy 97
Goldendale, WA 98620","","","Klickitat"
"MARYHILL WINERY","","","","189","Ground water","9774 Hwy 14
Goldendale, WA 98620","","","Klickitat"
"MARYS CORNER MARKET","","","","409","Ground water","PO Box 780
Napavine, WA 98565","","","Lewis"
"MARYS CORNER MEDICAL CLINIC","","","","48","Ground water","PO Box 780
Napavine, WA 98565","","","Lewis"
"MARYS GARDEN","","","","280","Ground water","110 Mcallister Drive
Yakima, WA 98908","","","Yakima"
"MARYSVILLE","","","","113","Ground water","7511 Greenwood Ave N, Unit #4011
Seattle, WA 98103-4627","","","Snohomish"
"MARYSVILLE UTILITIES","","","","67,820","Surface water purchased","80 Columbia Ave
Marysville, WA 98270","","","Snohomish"
"MASON COUNTY LOST LAKE","","","","96","Ground water","PO Box 123
Port Orchard, WA 98366","","","Mason"
"MASON COUNTY PUBLIC WORKS","","","","25","Ground water","100 W Public Works Dr
Shelton, WA 98584","","","Mason"
"MASONIC PARK","","","","107","Ground water","PO Box 1379
Granite Falls, WA 98252","","","Snohomish"
"MATHESON","","","","62","Ground water","
,  ","","","Kitsap"
"MATHISON THOMAS ORCHARDS - STAYMAN","","","","50","Ground water","PO Box 394
Cle Elum, WA 98922","","","Chelan"
"MATLOCK GENERAL STORE","","","","40","Ground water","PO Box 123
Port Orchard, WA 98366","","","Mason"
"MATS VIEW","","","","50","Ground water","310 Four Corners Rd.
Port Townsend, WA 98368","","","Jefferson"
"MATSON - MATTAWA CAMPUS","","","","25","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Grant"
"MATSON - SELAH CAMPUS","","","","25","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Yakima"
"MAURY MUTUAL WATER CO","","","","233","Ground water","23226 63rd Ave SW
Vashon, WA 98070","","","King"
"MAVERICK 1","","","","106","Ground water","8308 83rd Ave SE
Olympia, WA 98513","","","Thurston"
"MAXVALE #618","","","","54","Ground water","1230 Ruddell Rd SE
Lacey, WA 98503","","","Thurston"
"MAXWELTON BEACH","","","","42","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"MAY VOLT HILLS","","","","106","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Kitsap"
"MAYFIELD KAMPER KLUB","","","","87","Ground water","PO Box 780
Napavine, WA 98565","","","Lewis"
"MAYFIELD LAKE PARK","","","","107","Ground water","PO Box 109
Silver Creek, WA 98585","","","Lewis"
"MAYFIELD LAKE YOUTH CAMP","","","","39","Ground water","394 WINSTON CRK RD
MOSSYROCK, WA 98564","","","Lewis"
"MAYFIELD POWER PLANT","","","","32","Ground water","PO Box 109
Silver Creek, WA 98585","","","Lewis"
"MAYFIELD RV PARK","","","","60","Ground water","704 228th Avenue NE #134
Sammamish, WA 98074","","","Lewis"
"MAYTOWN REST AREA","","","","2,306","Ground water","11211 41st Ave
Tacoma, WA 98499-4694","","","Thurston"
"MAYTOWN TRUCK STOP","","","","44","Ground water","2820 MAYTOWN RD SW
OLYMPIA, WA 98512","","","Thurston"
"MC CORKLES MARKET","","","","106","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Benton"
"MC GEE GUEST HOME","","","","86","Ground water","21520 82nd Ave E
Spanaway, WA 98387","","","Pierce"
"MC PHERSON HILLS WATER SYSTEM","","","","30","Ground water","PO Box 659
Arlington, WA 98223","","","Snohomish"
"MCAULAYS HOME SITES","","","","58","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Yakima"
"MCCLEARY CITY OF","","","","2,753","Ground water","100 S 3RD ST
MCCLEARY, WA 98557","","","Grays Harbor"
"MCCORMICK WOODS","","","","1,922","Surface water purchased","216 Prospect St
Port Orchard, WA 98366","","","Kitsap"
"MCDONALD WELL","","","","307","Ground water","4001 Summitview Ave #5-191
Yakima, WA 98908","","","Yakima"
"MCHAVEN INC","","","","34","Surface water","22989 Lake McMurray Ln
Mt Vernon, WA 98274","","","Skagit"
"MCKEES EVERGREEN BEACH ASSOC","","","","290","Ground water","14263 Calhoun Rd
Mount Vernon, WA 98273","","","Snohomish"
"MCKENNA WATER DISTRICT","","","","600","Ground water","PO Box 143
McKenna, WA 98558","","","Pierce"
"MCKENNY CAMP","","","","100","Ground water","950 Farman Ave North MS: NE-92
Enumclaw, WA 98022-9282","","","Thurston"
"MCKENZIE ROAD BAPTIST CHURCH","","","","57","Ground water","PO Box 12178
Olympia, WA 98508","","","Thurston"
"MCNEIL ISLAND WATER","","","","692","Surface water","PO Box 1460
Steilacoom, WA 98338","","","Pierce"
"MEADOW LAKE WATER ASSOCIATION","","","","171","Surface water purchased","PO Box 659
Arlington, WA 98223","","","Snohomish"
"MEADOW LANE WATER ASSN","","","","98","Ground water","699 Sara Ln
Othello, WA 99344","","","Adams"
"MEADOW RIDGE","","","","175","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Snohomish"
"MEADOW WOOD-689","","","","43","Ground water","1230 Ruddell Rd SE
Lacey, WA 98503","","","Thurston"
"MEADOWBROOK HOMEOWNERS ASSN","","","","35","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Snohomish"
"MEADOWBROOK VILLAGE","","","","55","Ground water","PO Box 1989
Sequim, WA 98382","","","Clallam"
"MEADOWBROOK WATER ASSOCIATION","","","","579","Surface water purchased","6912 Hannegan Rd, Suite 105
Lynden, WA 98264","","","Whatcom"
"MEADOWMEER","","","","1,137","Ground water","PO BOX 10483
BAINBRIDGE ISLAND, WA 98110","","","Kitsap"
"MEADOWOOD DEVELOPMENT","","","","220","Ground water","38 MEADOWOOD DR
ELMA, WA 98541","","","Grays Harbor"
"MEADOWS","","","","24","Ground water","116 Fir Hollow Road
Chehalis, WA 98532","","","Lewis"
"MEADOWS-690","","","","2,570","Ground water","1230 Ruddell Rd SE
Lacey, WA 98503","","","Thurston"
"MECCA COMMUNITY ASSOCIATION","","","","598","Ground water","PO Box 2243
Oak Harbor, WA 98277","","","Island"
"MEDICAL LAKE CITY OF","","","","4,982","Ground water","PO Box 369
Medical Lake, WA 99022-0369","","","Spokane"
"MELODY PINES MOBILE HOME ESTATES","","","","207","Ground water","PO Box 123
Port Orchard, WA 98366","","","Thurston"
"MERCER ISLAND CITY OF","","","","22,699","Surface water purchased","9601 SE 36th St
Mercer Island, WA 98040","","","King"
"MERIDIAN HEIGHTS WATER DISTRICT","","","","126","Ground water","PO Box 123
Port Orchard, WA 98366","","","Thurston"
"MERIDIAN SCHOOL COMPLEX","","","","25","Ground water purchased","214 W Laurel Rd
Bellingham, WA 98226","","","Whatcom"
"MERIDIAN TERRACE MOBILE HOME PARK","","","","229","Ground water","9816 193rd St E
Graham, WA 98338","","","Pierce"
"MERIDIAN WATER SYSTEM","","","","81","Ground water","11422 SR 530 NE
Arlington, WA 98223","","","Snohomish"
"MERRIMOUNT 1","","","","36","Ground water purchased","PO Box 727
Union, WA 98592","","","Mason"
"MERRY ETTA PARK","","","","22","Ground water","137 MERRY ETTA DR
KALAMA, WA 98625","","","Cowlitz"
"MERWIN VILLAGE/PARK PPL CO","","","","80","Ground water","105 MERWIN VILLAGE CT
ARIEL, WA 98603-9727","","","Cowlitz"
"MESA WATER DEPARTMENT","","","","495","Ground water","PO Box 146
Mesa, WA 99343-9670","","","Franklin"
"METAL MILL 2","","","","36","Ground water","1162 NW State Ave
Chehalis, WA 98532","","","Lewis"
"METALINE FALLS TOWN OF","","","","344","Surface water","PO BOX 190
Newport, WA 99156","","","Pend Oreille"
"METALINE WATER DEPT","","","","212","Surface water","PO Box 85
Metaline, WA 99152","","","Pend Oreille"
"METHOW WATER SYSTEM INC","","","","31","Ground water","PO BOX 538
METHOW, WA 98834","","","Okanogan"
"METZ COMMUNITY & RV LLC","","","","245","Surface water purchased","585 Bethel Ave Ste 202
Port Orchard, WA 98366","","","Benton"
"MIDDLE FORK CAMPGROUND #2","","","","25","Ground water","675 Gilman St
Palo Alto, CA 94301","","","King"
"MIDWAY MINI-MART","","","","293","Ground water","16010 Rd 1 NW
Quincy, WA 98848","","","Grant"
"MIKES BEACH","","","","1","Ground water","38470 N. US Highway 101
Lilliwaup, WA 98555","","","Mason"
"MILL A WATER CO","","","","223","Ground water","62 Flume RD
WILLARD, WA 98605-9024","","","Skamania"
"MILL CREEK PROJECT OFFICE","","","","50","Ground water","3211 Reservoir Rd
Walla Walla, WA 99362","","","Walla Walla"
"MILL POND COMMUNITY LLC","","","","245","Ground water","585 Bethel Ave Ste 202
Port Orchard, WA 98366","","","Kittitas"
"MILLER BAY","","","","1,057","Ground water","PO Box 1989
Poulsbo, WA 98370","","","Kitsap"
"MILLER RIVER CAMPGROUND","","","","27","Ground water","675 Gilman St
Palo Alto, CA 94301","","","King"
"MILLERS ONE STOP","","","","33","Ground water","39824 N SR 2
Elk, WA 99009","","","Spokane"
"MILLERSYLVANIA STATE PARK","","","","3,440","Ground water","12245 Tilley Rd SW
Olympia, WA 98512","","","Thurston"
"MILLWOOD CITY OF","","","","1,766","Ground water","9103 E Frederick
Spokane, WA 99206","","","Spokane"
"MILTON CITY OF","","","","8,078","Ground water","1000 LAUREL ST
MILTON, WA 98354","","","Pierce"
"MINERAL HEIGHTS ASSOCIATION","","","","46","Ground water","PO Box 1536
Friday Harbor, WA 98250","","","San Juan"
"MINERAL LAKE RESORT","","","","1","Ground water","PO Box 490
Eatonville, WA 98328","","","Lewis"
"MINERAL LIONS DEN","","","","76","Ground water","PO Box 9
Mineral, WA 98355-0009","","","Lewis"
"MINERAL POINT COMMUNITY CLUB","","","","27","Surface water","PO Box 1536
Friday Harbor, WA 98250","","","San Juan"
"MINERAL SPRINGS CG/CLE ELUM RD","","","","39","Ground water","CLE ELUM RANGER DISTRICT
803 SECOND ST
CLE ELUM, WA 98922","","","Kittitas"
"MINERVA BEACH RESORT","","","","80","Ground water","PO Box 123
Port Orchard, WA 98366","","","Mason"
"MINERVA TERRACE","","","","85","Ground water","21971 N Hwy. 101
Shelton, WA 98584","","","Mason"
"MINI-PEARL WATER SYSTEM","","","","28","Ground water","565 W. Sunset Dr
Burbank, WA 99323","","","Walla Walla"
"MINTER BEACH ESTATES","","","","116","Ground water","13315 Goodnough Dr NW
Gig Harbor, WA 98332-8640","","","Pierce"
"MINTER BROOK BEACH INC.","","","","45","Ground water","PO Box 123
Port Orchard, WA 98366","","","Pierce"
"MINTER CREEK RAPIDS","","","","137","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Kitsap"
"MINTER VIEW WATER SYSTEM","","","","40","Ground water","13315 Goodnough Dr NW
Gig Harbor, WA 98332-8640","","","Pierce"
"MINTERBROOK","","","","4,965","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","Pierce"
"MIRACLE RANCH","","","","59","Ground water","15999 Sydney Rd. SW.
Port Orchard, WA 98366","","","Kitsap"
"MIRRORMONT","","","","2,059","Ground water","PO Box 336
Gig Harbor, WA 98335-0336","","","King"
"MISSION RIDGE SKI AREA WATER SYSTEM","","","","1,009","Ground water","PO Box 1668
Wenatchee, WA 98807","","","Chelan"
"MITCHELL POINT WATER ASSN","","","","81","Surface water","PO Box 1536
Friday Harbor, WA 98250","","","San Juan"
"MOA TEL","","","","73","Ground water","154 State Route 20
Port Townsend, WA 98368-9316","","","Jefferson"
"MOAB IRRIGATION DIST #20","","","","1,790","Ground water","PO Box 81
Newman lake, WA 99025","","","Spokane"
"MOBBS WATER","","","","100","Ground water","PO Box 123
Port Orchard, WA 98366","","","Thurston"
"MODEL IRRIGATION DIST #18","","","","7,584","Ground water","1424 S Pierce Rd
Spokane, WA 99206","","","Spokane"
"MODERN ELECTRIC WATER CO","","","","18,487","Ground water","PO Box 14008
Spokane, WA 99214","","","Spokane"
"MOLSON WATER USERS","","","","13","Ground water","1029-C Nine Mile Rd
Oroville, WA 98844","","","Okanogan"
"MONEY CREEK CAMPGROUND","","","","61","Ground water","675 Gilman St
Palo Alto, CA 94301","","","King"
"MONROE WATER SYSTEM","","","","22,917","Surface water purchased","806 W Main St
Monroe, WA 98272-2198","","","Snohomish"
"MONTE VIEW ESTATES","","","","200","Ground water","PO BOX 388
MONTESANO, WA 98563","","","Grays Harbor"
"MONTERRA","","","","455","Ground water","PO BOX 92
SEQUIM, WA 98382","","","Clallam"
"MONTESANO CITY OF","","","","5,371","Ground water","112 North Main Street
Montesano, WA 98563","","","Grays Harbor"
"MONTESSORI FARMHOUSE","","","","42","Ground water","NORTHWEST WATER SYSTEMS INC
PO BOX 123
PORT ORCHARD, WA 98366","","","Kitsap"
"MOORE TRADING COMPANY","","","","92","Ground water","PO BOX 8
BEAVER, WA 98305","","","Clallam"
"MOORELAND WATER CORP","","","","68","Ground water","13315 Goodnough Dr NW
Gig Harbor, WA 98332-8640","","","Pierce"
"MOORES BLUE LAKE WATER SYSTEM","","","","56","Ground water","PO Box 2061
Moses Lake, WA 98837","","","Grant"
"MORA RANGER STATION","","","","210","Ground water","600 E PARK AVE
PORT ANGELES, WA 98362","","","Clallam"
"MORAN BEACH IMPROVEMENT CLUB","","","","9","Ground water","4521 Moran Beach Lane
Oak Harbor, WA 98277-9751","","","Island"
"MORAN STATE PARK - SUMMIT LAKE","","","","4,803","Groundwater under influence of surface water","792 Day Lake Rd
Eastsound, WA 98245","","","San Juan"
"MORAN STATE PARK-CASCADE LAKE","","","","4,783","Surface water","792 Day Lake Rd
Eastsound, WA 98245","","","San Juan"
"MORAN STATE PARK-MOUNTAIN LAKE","","","","4,804","Surface water","792 Day Lake Rd
Eastsound, WA 98245","","","San Juan"
"MORGENSEN GROUND ZERO","","","","42","Ground water","16095 CLEAR CREEK RD
POULSBO, WA 98370","","","Kitsap"
"MORNING MEADOWS","","","","75","Ground water","PO Box 8900
Vancouver, WA 98668","","","Clark"
"MORNING SUN ESTATES","","","","27","Ground water","604 Briarwood Dr
East Wenatchee, WA 98802","","","Chelan"
"MORNINGSIDE FARM WATER SYSTEM","","","","65","Ground water","PO BOX 13410
Burton, WA 98013","","","King"
"MORTON CITY OF","","","","2,147","Surface water","PO BOX 1089
MORTON, WA 98356","","","Lewis"
"MOSES COULEE WATER ASSOCIATION","","","","42","Ground water","604 Briarwood Dr
East Wenatchee, WA 98802","","","Douglas"
"MOSES LAKE CITY OF","","","","22,930","Ground water","PO Box 1579
Moses Lake, WA 98837","","","Grant"
"MOSES POINTE WATER SYSTEM #1","","","","40","Ground water","4507 Westshore Dr
Moses Lake, WA ","","","Grant"
"MOSSYROCK PUBLIC UTILITY CITY OF","","","","1,553","Ground water","PO BOX 96
MOSSYROCK, WA 98564","","","Lewis"
"MOUNT ADAMS VISTA WATER SYSTEM","","","","34","Ground water","45106 N 280 PR NE
Benton City, WA 99320-7546","","","Benton"
"MOUNT BAKER MOBILE HOME PARK","","","","87","Ground water","3212 Mt Baker Hwy
Bellingham, WA 98226","","","Whatcom"
"MOUNT BAKER SCHOOL DISTRICT-DEMING","","","","1,000","Ground water","PO Box 95
Deming, WA 98244","","","Whatcom"
