"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"EUTAW WATER DEPARTMENT","","","","4,764","Ground water","
P O BOX 431
EUTAW, AL 35462","205-372-3374","EUTAW","Greene"
"EVERGREEN ESTATES","","","","1,884","Surface water purchased","
4950 Troy Highway
MONTGOMERY, AL 36111","334-288-5629","MONTGOMERY","Montgomery"
"EVERGREEN WATER WORKS","","","","4,950","Ground water","
p o box 229
EVERGREEN, AL 36401","251-578-1574","EVERGREEN","Conecuh"
"EXCEL WATER SYSTEM","","","","3,600","Ground water","
P O BOX 369
EXCEL, AL 36439","251-765-2558","EXCEL","Monroe"
"FAIRHOPE WATER SYSTEM (CITY OF)","http://www.cofairhope.com/dep_utilities_water.php","http://www.cofairhope.com/dep_utilities_water.php","","38,754","Ground water","P O BOX 429
FAIRHOPE, AL 36533","","FAIRHOPE","Baldwin"
"FAIRVIEW WATER SYSTEM (CONECUH)","","","","975","Ground water","
P O BOX 497
EVERGREEN, AL 36401","251-578-3639","EVERGREEN","Conecuh"
"FALKVILLE WATER WORKS","","","","1,413","Surface water purchased","
PO BOX 407
FALKVILLE, AL 35622","256-784-5922","FALKVILLE","Morgan"
"FARLEY NUCLEAR PLANT","","","","1,000","Ground water","Bin N-218-EC
3535 Colonnade Parkway
BIRMINGHAM, AL 35243","205-992-7536","BIRMINGHAM","Houston"
"FAUNSDALE WATER WORKS","","","","414","Ground water","
P O BOX 211
FAUNSDALE, AL 36738","334-628-4871","FAUNSDALE","Marengo"
"FAYETTE CO. WATER COORD. & F. P. A.","","","","4,194","Surface water purchased","
P.O. BOX 821
FAYETTE, AL 35555","205-932-6441","FAYETTE","Fayette"
"FAYETTE WATER WORKS BOARD","","","","8,142","Surface water","311 2nd Avenue SE
311 2nd Avenue SE
FAYETTE, AL 35555","205-932-5344","FAYETTE","Fayette"
"FAYETTEVILLE WATER  AUTHORITY","","","","5,565","Ground water","
5610 Old Fayetteville Rd
SYLACAUGA, AL 35151","256-245-2750","FAYETTEVILLE","Talladega"
"FIVE STAR WATER SUPPLY DISTRICT","","","","100","Surface water","
P O BOX 680870
PRATTVILLE, AL 36068-0870","334-365-6783","PRATTVILLE","Elmore"
"FLOMATON WATER WORKS","","","","2,409","Ground water","
P O Box 632
FLOMATON, AL 36441","251-296-2431","FLOMATON","Escambia"
"FLORALA REST AREA   (U.S. 331)","","","","500","Ground water","
11975Lavon Shaddix Lane
ANDALUSIA, AL 36421","334-222-5555","ANDALUSIA","Covington"
"FLORALA WATER WORKS & SEWER BOARD","","","","3,051","Ground water","
P.O. Box 346
FLORALA, AL 36442","334-858-6722","FLORALA","Covington"
"FLORENCE WATER-WASTEWATER DEPARTMENT","","","","77,766","Surface water","
P O BOX 1023
FLORENCE, AL 35631","256-760-6637","FLORENCE","Lauderdale"
"FOLEY (UTILITIES BOARD OF THE CITY OF)","http://www.rivierautilities.com/pdf/water_quality_2011.pdf","http://www.rivierautilities.com/water.php","","41,388","Ground water","P.O. BOX 2050
FOLEY, AL 36536","251-943-5001","FOLEY","Baldwin"
"FORDS VALLEY & HWY 278 WATER","","","","5,532","Ground water purchased","
9589 US HWY 278 E.
PIEDMONT, AL 36272","256-492-3080","PIEDMONT","Etowah"
"FORKLAND WATER SYSTEM","","","","1,137","Ground water","
P O BOX 126
FORKLAND, AL 36740","334-289-3032","FORKLAND","Greene"
"FORT DEPOSIT WATER & SEWER BOARD","","","","2,280","Ground water","
P O BOX 260
FORT DEPOSIT, AL 36032","334-227-7741","FORT DEPOSIT","Lowndes"
"FORT PAYNE WATER WORKS BOARD","http://fortpaynewater.com","http://fortpaynewater.com","","25,107","Surface water","
153 20TH STREET NE
FORT PAYNE, AL 35967","256-845-0449","FORT PAYNE","DeKalb"
"FORT RUCKER - AMERICAN WATER","","","","13,880","Ground water","American Water Enterprises
9801 Red Cloud Rd
FT. RUCKER, AL 36362","334-503-1761","","Dale"
"FORWARD OPERATING BASE","","","","25","Ground water","American Water Enterprises
9801 Red Cloud Rd
FT. RUCKER, AL 36362","334-503-1761","FORT RUCKER","Dale"
"FOSTERS-RALPH WATER AUTHORITY","","","","5,895","Surface water purchased","
P O Box 8
RALPH, AL 35480","205-758-0908","RALPH","Tuscaloosa"
"FRANKLIN COUNTY WATER SERVICES AUTHORITY","","","","4,950","Surface water","P.O. BOX 278
12951 HWY. 187
RUSSELLVILLE, AL 35653","256-332-1496","RUSSELLVILLE","Franklin"
"FRANKLIN WATER SYSTEM (TOWN OF)","","","","150","Surface water purchased","1660 Hwy 49
1660 Hwy 49
TUSKEGEE, AL 36083","334-727-2111","TUSKEGEE","Macon"
"FRANKVILLE WATER & FIRE PRO AUTHORITY","","","","945","Ground water","
P O BOX 153
FRANKVILLE, AL 36538","251-754-9434","FRANKVILLE","Washington"
"FREEMANVILLE WATER SYSTEM","","","","3,414","Ground water","
18 Woods Road
ATMORE, AL 36502","251-368-2919","ATMORE","Escambia"
"FRIENDSHIP WATER WORKS","","","","4,293","Surface water purchased","
4540 FRIENDSHIP RD
TALLASSEE, AL 36078","334-283-3040","FRIENDSHIP","Elmore"
"FRISCO CITY WATER SYSTEM","","","","2,100","Ground water","
PO BOX 119
FRISCO CITY, AL 36445","251-267-3439","FRISCO CITY","Monroe"
"FRUITDALE WATER SYSTEM","","","","3,057","Ground water purchased","P.O. Box 386
FRUITDALE, AL 36539","","CHATOM","Washington"
"FT MITCHELL WATER SYSTEM","","","","13,200","Ground water","
P O BOX 149
FT MITCHELL, AL 36856","334-855-4703","","Russell"
"FULTON (UTILITIES BOARD OF THE TOWN OF)","","","","534","Ground water","
P O BOX 67
FULTON, AL 36446","334-636-9527","FULTON","Clarke"
"GADSDEN WATER WORKS AND SEWER BOARD","","","","44,637","Surface water","PO Box 800
GADSDEN, AL 35902","256-543-2884","GADSDEN","Etowah"
"GANTT WATER SYSTEM","","","","825","Ground water purchased","
P O BOX 8
GANTT, AL 36038","334-388-4786","GANTT","Covington"
"GARDEN CITY WATER DEPARTMENT","","","","1,641","Surface water purchased","501 1ST AVE
P O BOX 172
GARDEN CITY, AL 35070","256-352-5408","GARDEN CITY","Cullman"
"GENEVA WATER WORKS","","","","8,700","Ground water","
P O BOX 370
GENEVA, AL 36340","334-684-9554","GENEVA","Geneva"
"GEORGIANA WATER WORKS & SEWER BOARD","","","","2,889","Ground water","
P. O. BOX 310
GEORGIANA, AL 36033","334-376-2555","GEORGIANA","Butler"
"GILBERTOWN (UTILITIES BOARD OF TOWN OF)","","","","8,157","Ground water","MR. BILLY C. MAY, CHAIRMAN
13217 Choctaw Avenue
GILBERTOWN, AL 36908","251-843-2477","GILBERTOWN","Choctaw"
"GLEN ALLEN WATER SYSTEM","","","","1,500","Surface water purchased","
P.O. Box 40
GLEN ALLEN, AL 35559","205-487-2014","GLEN ALLEN","Fayette"
"GLENCOE WATER WORKS BOARD","","","","6,450","Ground water","
203 West Chastain Blvd
GLENCOE, AL 35905","256-492-1020","GLENCOE","Etowah"
"GLENWOOD WATER WORKS","","","","387","Ground water purchased","
P O BOX 217
GLENWOOD, AL 36034","334-335-4463","GLENWOOD","Crenshaw"
"GOLDEN ROD BROILERS","","","","350","Surface water","
PO Drawer 948
CULLMAN, AL 35055","256-739-2776","CULLMAN","Cullman"
"GOODWATER WTR WORKS & SEWER BD (CITY OF)","","","","2,550","Surface water purchased","
P O BOX 65
GOODWATER, AL 35072","256-839-6301","GOODWATER","Coosa"
"GORDO WTR GAS & SEWER BOARD","","","","3,630","Ground water","P.O. BOX 348
GORDO, AL 35466","","GORDO","Pickens"
"GORDON TOWN OF","","","","414","Ground water","
P.O. Box 46
GORDON, AL 36343","334-200-5633","GORDON","Houston"
"GOSHEN WATER WORKS DIST SYSTEM","","","","516","Ground water","
P O BOX 146
GOSHEN, AL 36035","334-484-3246","GOSHEN","Pike"
"GOVERNMENTAL UTILITY SERVICE CORPORATION","","","","32","Surface water","205 LINK ROAD
205 LINK ROAD
BESSEMER, AL 35023","205-436-4010","BESSEMER","Jefferson"
"GRAND BAY WATER WORKS BOARD","","","","11,100","Ground water","
P O BOX 416
GRAND BAY, AL 36541","251-865-6450","GRAND BAY","Mobile"
"GRAYSVILLE WATER & SEWER BOARD","","","","9,144","Surface water purchased","
P O Box 130
GRAYSVILLE, AL 35073","","GRAYSVILLE","Jefferson"
"GREEN PARK SOUTH MOBILE HOME PARK","","","","903","Ground water purchased","
32255 Northwestern Hwy Suite 201
FARMINGTON HILLS, MI 48334","248-515-8855","PELHAM","Shelby"
"GREEN POND WATER SYSTEM","","","","8,631","Ground water","
19639 Eastern Valley Road
GREEN POND, AL 35074","205-938-9367","GREEN POND","Bibb"
"GREENE COUNTY STEAM PLANT","","","","120","Ground water","
P O Box 1295
BIRMINGHAM, AL 35291","205-257-4424","DEMOPOLIS","Greene"
"GREENE COUNTY WATER AUTHORITY","","","","4,062","Ground water","
P O BOX 751
EUTAW, AL 35462","205-372-1661","EUTAW","Greene"
"GREENETRACK, INC","","","","200","Ground water","
P. O. DRAWER 471
EUTAW, AL 35462","205-372-9318","EUTAW","Greene"
"GREENHILL WATER & FIRE PRO AUTHORITY","","","","8,088","Surface water purchased","
35496 COUNTY ROAD 8
FLORENCE, AL 35634","","FLORENCE","Lauderdale"
"GREENSBORO (UTILITIES BD OF THE CITY OF)","","","","4,500","Ground water","
P. O. BOX 546
GREENSBORO, AL 36744","334-624-8448","GREENSBORO","Hale"
"GREENVILLE WATER WORKS","","","","9,290","Ground water","HON. DEXTER MCCLENDON, MAYOR
PO BOX 483
GREENVILLE, AL 36037","334-382-6661","GREENVILLE","Butler"
"GROVE HILL WATER WORKS","","","","3,750","Ground water","
P. O. BOX 847
GROVE HILL, AL 36451","251-275-3153","GROVE HILL","Clarke"
"GUIN WATER & SEWER BOARD","","","","4,416","Surface water","
POST OFFICE BOX 249
GUIN, AL 35563","205-468-3835","GUIN","Marion"
"GULF SHORES (UTILITIES BOARD CITY OF)","http://www.gulfshoresutilities.com/pdf/Water_Quality_Report_2013.pdf","http://www.gulfshoresutilities.com/index.html","","36,798","Ground water","
P O BOX 1229
GULF SHORES, AL 36542","251-968-6323","GULF SHORES","Baldwin"
"GULF STATE PARK INTERPRETIVE CENTER WTS","","","","50","Surface water","22250-A EAST BEACH BLVD
GULF SHORES, AL 36542","","GULF SHORES","Baldwin"
"GUNTERSVILLE WATER WORKS & SEWER BOARD","","","","12,612","Surface water","705 BLOUNT AVE
GUNTERSVILLE, AL 35976","256-582-5931","GUNTERSVILLE","Marshall"
"GURLEY WATER SYSTEM","","","","1,140","Surface water purchased","MR. JIMMY JONES, OPERATOR
PO BOX 143
PAINT ROCK, AL 35764","256-776-3393","GURLEY","Madison"
"HACKLEBURG WATER & SEWER BOARD","","","","2,403","Surface water purchased","
PO BOX 279
HACKLEBURG, AL 35564","205-935-3133","HACKLEBURG","Marion"
"HACKNEYVILLE WATER & FIRE PRO AUTHORITY","","","","1,155","Surface water purchased","
P O BOX 666
ALEXANDER CITY, AL 35011","256-839-6171","ALEXANDER CITY","Tallapoosa"
"HALE COUNTY WATER AUTHORITY","","","","9,540","Ground water","
P. O. Box 416
GREENSBORO, AL 36744","334-624-8868","GREENSBORO","Hale"
"HALEYVILLE WATER WORKS & SEWER BOARD","","","","11,835","Surface water purchased","
808 21ST STREET
HALEYVILLE, AL 35565","205-486-3114","HALEYVILLE","Winston"
"HAMDEN RIDGE WATER AUTHORITY","","","","2,196","Ground water","
10054 Hwy. 84
EVERGREEN, AL 36401","251-248-2801","EVERGREEN","Conecuh"
"HAMILTON WATER AND WASTEWATER DEPARTMENT","","","","10,500","Surface water","736 Military Street South
736 Military Street South
HAMILTON, AL 35570","205-921-4215","HAMILTON","Marion"
"HANCEVILLE (THE WWSB OF THE CITY OF)","","","","5,844","Ground water","MR. CHARLES WILSON, CHAIRMAN
203 MAIN STREET, NW
HANCEVILLE, AL 35077","256-352-9229","HANCEVILLE","Cullman"
"HARPERSVILLE WATER SYSTEM","","","","2,178","Ground water","
P O BOX 340
HARPERSVILLE, AL 35078","205-672-9961","HARPERSVILLE","Shelby"
"HARTFORD WATER WORKS","","","","4,323","Ground water","
203 West Main Street
HARTFORD, AL 36344","334-588-2245","HARTFORD","Geneva"
"HARTSELLE UTILITY BOARD","","","","21,423","Surface water purchased","
P O BOX 488
HARTSELLE, AL 35640","256-773-3340","HARTSELLE","Morgan"
"HARVEST-MONROVIA WATER SYSTEM","","","","51,912","Groundwater under influence of surface water","
555 RAGSDALE ROAD
PROSPECT, TN 38477","256-837-1132","HARVEST","Madison"
"HAWK PRIDE MT WATER SYSTEM","","","","4,035","Surface water purchased","
200 NEW BETHEL ROAD
TUSCUMBIA, AL 35674","256-381-4520","TUSCUMBIA","Colbert"
"HAYDEN WATER WORKS","","","","2,550","Surface water purchased","
P O BOX 493
HAYDEN, AL 35079","205-543-6882","HAYDEN","Blount"
"HAYNEVILLE WATER DEPARTMENT","","","","2,958","Ground water","
P O BOX 365
HAYNEVILLE, AL 36040","334-548-2128","HAYNEVILLE","Lowndes"
"HEADLAND WATER WORKS","","","","5,700","Ground water","
9 Park Street
HEADLAND, AL 36345","334-693-3363","HEADLAND","Henry"
"HEATH WATER SYSTEM","","","","450","Ground water purchased","
25714 Grimes Alley
ANDALUSIA, AL 36421","334-222-2160","ANDALUSIA","Covington"
"HEFLIN WATER WORKS","","","","4,287","Surface water","
PO Box 488
HEFLIN, AL 36265","256-463-2011","HEFLIN","Cleburne"
"HELENA UTILITY BOARD","","","","20,700","Surface water purchased","
P O BOX 427
HELENA, AL 35080","205-663-1670","HELENA","Shelby"
"HENRY COUNTY WATER AUTHORITY","","","","10,902","Ground water","
P O BOX 147
ABBEVILLE, AL 36310","334-585-5763","ABBEVILLE","Henry"
"HIGH BLUFF AAF","","","","30","Ground water","American Water Enterprises
9801 Red Cloud Rd
FT. RUCKER, AL 36362","334-503-1761","","Geneva"
"HIGHLAND WATER AUTHORITY","","","","3,852","Surface water purchased","
3071 TABOR RD
GADSDEN, AL 35904","256-546-1751","GADSDEN","Etowah"
"HILLTOP RV PARK","","","","65","Ground water","
41 Conley Branch Road
BLAIRSVILLE, GA 30512","678-642-5189","ROBERTSDALE","Baldwin"
"HOBSON CITY WATER SYSTEM","","","","664","Surface water purchased","715 Martin Luther King Jr. Drive
715 Martin Luther King Jr. Drive
HOBSON CITY, AL 36201","256-831-4940","HOBSON CITY","Calhoun"
"HOBSON WATER SYSTEM","","","","621","Ground water purchased","1588 County Road 12
P O BOX 1105
CHATOM, AL 36518","251-246-2900","CHATOM","Washington"
"HODGES WATER SYSTEM","","","","2,352","Ground water","
P.O. Box 86
HODGES, AL 35571","205-269-5573","HODGES","Franklin"
"HOKES BLUFF WATER BOARD","","","","5,310","Ground water","MR. KENNETH MEANS, CHAIRMAN
5720 GILLILAND STREET
HOKES BLUFF, AL 35903","256-492-2298","HOKES BLUFF","Etowah"
"HOLLINS WATER AUTHORITY","","","","1,302","Surface water purchased","
P O BOX 21
HOLLINS, AL 35082","256-249-4014","HOLLINS","Clay"
"HOLTVILLE WATER SYSTEM","","","","8,565","Surface water purchased","
10048 HOLTVILLE RD
DEATSVILLE, AL 36022","334-569-2105","DEATSVILLE","Elmore"
"HOUSTON COUNTY WATER AUTHORITY","","","","4,377","Ground water","1699 Ross Clark Circle
Suite 2
DOTHAN, AL 36301","334-702-0188","DOTHAN","Houston"
"HUBBARD LANDING, INC","","","","15","Ground water","
9100 HUBBARD LANDING RD
STOCKTON, AL 36579","251-937-5726","STOCKTON","Baldwin"
"HUGULEY WATER AUTHORITY","","","","6,900","Surface water purchased","
P O Box 426
LANETT, AL 36863","334-576-2126","HUGULEY","Chambers"
"HUNTSVILLE UTILITIES","http://www.hsvutil.org/about/WQRindex.shtml","","","262,155","Surface water","
P.O. Box 2048
HUNTSVILLE, AL 35804","256-746-2888","HUNTSVILLE","Madison"
"HURTSBORO WATER & SEWER BOARD","","","","1,182","Ground water","
P.O. Box 658
HURTSBORO, AL 36860","334-667-7782","HURTSBORO","Russell"
"I-65 RV CAMPGROUND","","","","246","Ground water","
730 JACKSON ROAD
CREOLA, AL 36525","251-675-6347","CREOLA","Mobile"
"INTERNATIONAL PAPER (AUTAUGA CO.)","","","","600","Ground water","100 Jensen Road
PRATTVILLE, AL 36067","334-361-5048","PRATTVILLE","Autauga"
"INTERNATIONAL PAPER COMPANY (SELMA)","","","","730","Ground water","601 County Road 78
601 County Road 78
SELMA, AL 36703","334-418-5356","SELMA","Dallas"
"IRONDALE WATER SYSTEM","","","","10,098","Ground water","101 20th Street South
P.O. Box 100727
IRONDALE, AL 35210","205-956-9200","IRONDALE","Jefferson"
"JACK WATER SYSTEM, INC","","","","1,305","Ground water","
P.O. Box 47
JACK, AL 36346","334-897-6738","JACK","Coffee"
"JACKSON COUNTY WATER AUTHORITY","","","","7,299","Surface water purchased","14676 US HWY 72
14676 US HWY 72
SCOTTSBORO, AL 35768","256-574-6743","SCOTTSBORO","Jackson"
"JACKSON WATER WORKS & SEWER BOARD","","","","11,715","Surface water","
2751 COMMERCE STREET
JACKSON, AL 36545","251-246-2900","JACKSON","Clarke"
"JACKSONS GAP WATER AUTHORITY","","","","5,700","Surface water purchased","Jackson's Gap Water Authority
567 Jackson's Gap Way
JACKSON'S GAP, AL 36861","256-825-8385","JACKSONS GAP","Tallapoosa"
"JACKSONVILLE WATER WORKS, GAS AND SEWER","","","","13,809","Surface water purchased","
330 CHURCH AVENUE, S.E.
JACKSONVILLE, AL 36265-2651","256-435-7657","JACKSONVILLE","Calhoun"
"JASPER WATER WORKS AND SEWER BOARD","","","","28,638","Surface water","
PO BOX 1348
JASPER, AL 35501","205-221-2142","JASPER","Walker"
"JCG FOODS OF ALABAMA LLC","","","","860","Surface water purchased","Dave Chapman
764 George Cagle Drive
COLLINSVILLE, AL 35961","256-524-2147","COLLINSVILLE","DeKalb"
"JEMISON WATER WORKS","","","","4,110","Ground water purchased","
PO BOX 609
JEMISON, AL 35085","205-688-4492","JEMISON","Chilton"
"JOHNSONS CROSSING WATER SYSTEM","","","","3,288","Surface water purchased","
P O Box 1128
CULLMAN, AL 35056","256-734-3321","CULLMAN","Cullman"
"JOPPA, HULACO & RYAN WATER AUTHORITY","","","","4,980","Surface water purchased","
P. O. BOX 68
JOPPA, AL 35087","256-586-5974","JOPPA","Cullman"
"KANSAS WATER SYSTEM","","","","348","Ground water purchased","
P.O. Box 186
KANSAS, AL 35573","205-924-0072","KANSAS","Walker"
"KELLYTON WATER SYSTEM","","","","1,968","Surface water purchased","
PO Box 67
KELLYTON, AL 35089","","KELLYTON","Coosa"
"KENNEDY WATER WORKS BOARD","","","","723","Ground water","
P.O. Box 70
KENNEDY, AL 35574","205-596-3670","KENNEDY","Lamar"
"KINSEY WATER SYSTEM","","","","2,010","Ground water","
1469 SOUTH COUNTY ROAD 59
TAYLOR, AL 36301","334-677-5079","DOTHAN","Houston"
"KINSTON WATER WORKS","","","","2,172","Ground water","
P.O. Box 26
KINSTON, AL 36453","334-565-3188","KINSTON","Coffee"
"KUSHLA WATER DISTRICT","","","","6,294","Ground water","
6201 HIGHWAY 45
EIGHT MILE, AL 36613","251-675-2297","EIGHT MILE","Mobile"
"LAD MARINA & CAMPGROUND","","","","25","Ground water","690 County Road 199
690 County Road 199
CEDAR BLUFF, AL 35959","706-331-7625","CEDAR BLUFF","Cherokee"
"LAFAYETTE WATER WORKS","","","","3,774","Surface water","PO Box 87
LAFAYETTE, AL 36862","","LAFAYETTE","Chambers"
"LAGRANGE MOUNTAIN WATER AUTHORITY","","","","1,206","Ground water purchased","
P O BOX 463
LEIGHTON, AL 35646","256-446-8437","LEIGHTON","Colbert"
"LAKE MITCHELL WATER, INCORPORATED","","","","318","Surface water purchased","
347 Highland View Drive
BIRMINGHAM, AL 35242","251-380-7332","ROCKFORD","Coosa"
"LAKE THOLOCCO RECREATION AREA - AMERICAN","","","","25","Ground water","American Water Enterprises
9801 Red Cloud Rd
FT. RUCKER, AL 36362","334-503-1761","FORT RUCKER","Dale"
"LAKESIDE MARINA","","","","50","Ground water","P.O. Box 1430
ROANOKE, AL 36274","256-276-7837","WEDOWEE","Randolph"
"LANETT WATER WORKS","","","","8,076","Surface water purchased","401 North Lanier Avenue
401 North Lanier Avenue
LANETT, AL 36863","334-644-2141","LANETT","Chambers"
"LEEDS WATER BOARD","","","","21,300","Ground water","
PO BOX 100
LEEDS, AL 35094","205-699-5151","LEEDS","Jefferson"
"LEIGHTON (WSB OF THE TOWN OF)","","","","1,206","Ground water","
P.O. Box 817
LEIGHTON, AL 35646","256-446-9330","LEIGHTON","Colbert"
"LEMOYNE WATER SYSTEM, INC.","","","","3,825","Ground water","P.O. BOX 144
AXIS, AL 36505","251-675-1797","AXIS","Mobile"
"LEROY WATER AUTHORITY","","","","1,710","Ground water","
p o box 160
LEROY, AL 36548","251-247-0115","LEROY","Washington"
"LEVEL PLAINS WATER SYSTEM","","","","3,630","Ground water","
1708 Joe Bruer Rd
DALEVILLE, AL 36322","","DALEVILLE","Dale"
"LEXINGTON WATER WORKS AND SEWER","","","","2,898","Surface water purchased","
P.O. Box 147
LEXINGTON, AL 35648","256-229-5221","LEXINGTON","Lauderdale"
"LIMESTONE COUNTY WATER SYSTEM","","","","65,000","Surface water","PO Box 110
17218 Highway 72 West
ATHENS, AL 35612","256-233-6448","ATHENS","Limestone"
"LINCOLN (CITY OF)","","","","10,218","Ground water","
P. O. BOX 172
LINCOLN, AL 35096","","LINCOLN","Talladega"
"LINDEN UTILITIES BOARD","","","","5,103","Ground water","
211 N Main Street
LINDEN, AL 36748","334-295-4121","LINDEN","Marengo"
"LINEVILLE WATER WORKS BOARD","","","","3,126","Surface water purchased","
P. O. Box 247
LINEVILLE, AL 36266","256-396-2063","LINEVILLE","Clay"
"LITTLE WAXIE WATER AUTHORITY","","","","1,269","Ground water purchased","
P O BOX 803 101 Hwy 47 S Suite 5
COLUMBIANA, AL 35051","205-669-7070","COLUMBIANA","Shelby"
"LITTLEVILLE WATERWORKS","","","","3,585","Surface water purchased","
1810 George Wallace Highway
RUSSELLVILLE, AL 35654","256-332-3567","RUSSELLVILLE","Colbert"
"LIVINGSTON WATER WORKS","","","","4,680","Ground water","
P O DRAWER W
LIVINGSTON, AL 35470","205-652-2505","LIVINGSTON","Sumter"
"LOACHAPOKA WATER AUTHORITY","","","","11,649","Surface water purchased","
P.O. Box 129
LOACHAPOKA, AL 36865","334-887-3329","LOACHAPOKA","Lee"
"LOCKHART WATER WORKS","","","","720","Ground water","
PO BOX 216
LOCKHART, AL 36455","334-858-6744","LOCKHART","Covington"
"LOGAN LANDING RV RESORT & CAMPGROUND","","","","552","Ground water","
1036 Paul Bear Bryant
ALPINE, AL 35014","256-268-0045","ALPINE","Talladega"
"LOUISVILLE WATER WORKS","","","","1,380","Ground water","
P. O. BOX 125 (1951 Main Street)
LOUISVILLE, AL 36048","334-266-5210","LOUISVILLE","Barbour"
"LOWNDES COUNTY WATER SYSTEM","","","","3,675","Ground water","
P O BOX 736
HAYNEVILLE, AL 36040","334-548-6235","HAYNEVILLE","Lowndes"
"LOWNDESBORO WATER SYSTEM","","","","840","Ground water","
P O BOX 145
LOWNDESBORO, AL 36752","334-278-3434","LOWNDESBORO","Lowndes"
"LOXLEY (TOWN OF)","","","","10,104","Ground water","
P. O. BOX 9
LOXLEY, AL 36551","","LOXLEY","Baldwin"
"LUVERNE WATER & SEWER DEPARTMENT","","","","3,900","Ground water","
P O Box 249 / 22 East Fifth Street
LUVERNE, AL 36049","334-335-3741","LUVERNE","Crenshaw"
"LYEFFION WATER AND FIRE PRO AUTHORITY","","","","1,419","Ground water purchased","
8741 HIGHWAY 83
EVERGREEN, AL 36401","251-578-4011","EVERGREEN","Conecuh"
"LYNN WATER WORKS","","","","1,845","Surface water purchased","
P.O. BOX 145
LYNN, AL 35575","205-893-5250","LYNN","Winston"
"MACON COUNTY WATER AUTHORITY","","","","7,566","Surface water purchased","
1001 MLK Hwy
TUSKEGEE, AL 36083","334-727-2381","TUSKEGEE","Macon"
"MADISON COUNTY WATER DEPARTMENT","","","","94,128","Surface water purchased","
266-B SHIELDS ROAD
HUNTSVILLE, AL 35811","256-746-2888","HUNTSVILLE","Madison"
"MADISON WATER WORKS & SEWER","https://madisonutilities.org/images/2018_Water_Quality_Report_for_website.pdf","https://madisonutilities.org/","Madison Utilities","50,000","Surface water","
101 RAY SANDERSON DRIVE
MADISON, AL 35758","256-772-0253","MADISON","Madison"
"MALVERN WATER DEPARTMENT","","","","1,680","Ground water","
P.O. Box 98
MALVERN, AL 36349","334-793-6537","MALVERN","Geneva"
"MAPLESVILLE WATER WORKS","","","","1,062","Ground water purchased","
PO BOX 62
MAPLESVILLE, AL 36750","334-366-2407","MAPLESVILLE","Chilton"
"MARBURY WATER SYSTEM, INC.","","","","8,670","Surface water purchased","JAMES ALLEN GUY
P O BOX 180
MARBURY, AL 36051","205-755-7949","MARBURY","Autauga"
"MARGARET WATER WORKS","","","","4,881","Surface water purchased","
P O BOX 207
MARGARET, AL 35112","205-629-7001","MARGARET","St. Clair"
"MARION COUNTY PUBLIC WATER AUTHORITY","","","","3,435","Surface water purchased","
PO BOX 909
HAMILTON, AL 35570","205-921-2092","GUIN","Marion"
"MARION WATER DEPARTMENT","","","","4,323","Ground water","
P. O. Drawer 959
MARION, AL 36756","334-683-6545","MARION","Perry"
"MCB WATER AUTHORITY, INC.","","","","651","Ground water","PO BOX 60
1056 U.S. HIGHWAY 43
BUCKS, AL 36512","251-829-6206","BUCKS","Mobile"
"MCCALL WATER SYSTEM INC","","","","7,500","Ground water","
4035 Old Highway 31
BREWTON, AL 36426","251-867-6100","BREWTON","Escambia"
"MCINTOSH WATER & FIRE PRO AUTHORITY","","","","3,060","Ground water","
P O BOX 92
MCINTOSH, AL 36553","251-944-2083","MCINTOSH","Washington"
"MCKENZIE WATER BOARD","","","","1,170","Ground water","
P O BOX 134
MCKENZIE, AL 36456","334-374-2311","MCKENZIE","Butler"
"MCVAY WATER SYSTEM","","","","1,482","Surface water purchased","
PO BOX 25
JACKSON, AL 36545","251-246-3051","JACKSON","Clarke"
"MEXIA WATER SYSTEM, INC.","","","","2,550","Ground water","
P O BOX 247
MEXIA, AL 36458","251-743-2332","MEXIA","Monroe"
"MID-CENTRAL WATER AUTHORITY","","","","2,331","Surface water purchased","
P O BOX 438
FULTON, AL 36446","334-636-5092","FULTON","Clarke"
"MID-CLARKE WATER SYSTEM","","","","1,500","Ground water purchased","
P.O. BOX 277
GROVE HILL, AL 36451","251-275-2818","GROVE HILL","Clarke"
"MIDLAND CITY WATER DEPARTMENT","","","","2,880","Ground water","
PO BOX 69
MIDLAND CITY, AL 36350","334-983-3511","MIDLAND CITY","Dale"
"MIDWAY WATER WORKS","","","","1,050","Ground water","32868 HWY 82
P O BOX 36
MIDWAY, AL 36053-0036","334-529-3261","CLAYTON, MIDWAY","Bullock"
"MILLBROOK UTILITIES","","","","5,181","Surface water purchased","Sewer Plant - 334-285-4518
P O BOX 1072
MILLBROOK, AL 36054","334-285-3001","MILLBROOK","Elmore"
"MILLERS FERRY WATER AUTHORITY, INC.","","","","1,650","Ground water","
P O BOX 428
CAMDEN, AL 36726","334-682-9611","MILLERS FERRY","Wilcox"
"MILLERVILLE WATER & FIRE PRO AUTHORITY","","","","1,500","Surface water purchased","334 School House Road
MILLERVILLE, AL 36251","256-354-2359","MILLERVILLE","Clay"
"MILLPORT WATER WORKS","","","","1,410","Ground water","HON. STANLEY ALLRED, MAYOR
PO BOX 365
MILLPORT, AL 35576","205-662-4228","MILLPORT","Lamar"
