PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Primacy Type,Primary Source,Activity Status,Deactivation Date,Population Served Count,Population Category,Rule Name,Violation Code,Violation Type,Violation Category Code,Is Health Based,Contaminant Name,Compliance Period Begin Date,Compliance Period End Date,Compliance Status,RTC Date,Enforcement Action Type Code,Enforcement Action Description,Is Major Violation,Severity Indicator Count,Public Notification Tier,Violation First Reported Date
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,1-Dichloroethylene",1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,18-May-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Di(2-ethylhexyl) phthalate,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Picloram,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Hexachlorocyclopentadiene,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Carbofuran,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Atrazine,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,LASSO,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Heptachlor,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Heptachlor epoxide,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,"2,4-D",1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Benzo(a)pyrene,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Total Polychlorinated Biphenyls (PCB),1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Chlordane,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,BHC-GAMMA,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Methoxychlor,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Di(2-ethylhexyl) adipate,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,OXAMYL,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Simazine,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Di(2-ethylhexyl) phthalate,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Picloram,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Hexachlorocyclopentadiene,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Carbofuran,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Atrazine,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,LASSO,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Heptachlor,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
FL6510424,DADE CITY WATER DEPT,Region 4,Florida,Community water system,State,Ground water,Active,-,"14,373",Large,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,TTHM,1-Jan-17,31-Dec-17,Returned to Compliance,20-Feb-18,SOX,State Compliance achieved,Y,4,3,21-Feb-18
FL6510424,DADE CITY WATER DEPT,Region 4,Florida,Community water system,State,Ground water,Active,-,"14,373",Large,Nitrates,3,"Monitoring, Regular",MR,N,Nitrate,1-Jan-17,31-Dec-17,Returned to Compliance,20-Feb-18,SOX,State Compliance achieved,Y,-,3,21-Feb-18
FL6510424,DADE CITY WATER DEPT,Region 4,Florida,Community water system,State,Ground water,Active,-,"14,373",Large,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Total Haloacetic Acids (HAA5),1-Jan-17,31-Dec-17,Returned to Compliance,20-Feb-18,SOX,State Compliance achieved,Y,4,3,21-Feb-18
PA5300005,MUN AUTH BORO OF CARMICHAELS,Region 3,Pennsylvania,Community water system,State,Surface water,Active,-,"4,700",Medium,Arsenic,3,"Monitoring, Regular",MR,N,Arsenic,1-Jan-17,31-Dec-17,Returned to Compliance,25-Apr-18,SOX,State Compliance achieved,Y,-,3,24-May-18
PA5300005,MUN AUTH BORO OF CARMICHAELS,Region 3,Pennsylvania,Community water system,State,Surface water,Active,-,"4,700",Medium,Inorganic Chemicals,3,"Monitoring, Regular",MR,N,Barium,1-Jan-17,31-Dec-17,Returned to Compliance,25-Apr-18,SOX,State Compliance achieved,Y,-,3,24-May-18
PA5300005,MUN AUTH BORO OF CARMICHAELS,Region 3,Pennsylvania,Community water system,State,Surface water,Active,-,"4,700",Medium,Inorganic Chemicals,3,"Monitoring, Regular",MR,N,Cadmium,1-Jan-17,31-Dec-17,Returned to Compliance,25-Apr-18,SOX,State Compliance achieved,Y,-,3,24-May-18
PA5300005,MUN AUTH BORO OF CARMICHAELS,Region 3,Pennsylvania,Community water system,State,Surface water,Active,-,"4,700",Medium,Inorganic Chemicals,3,"Monitoring, Regular",MR,N,Chromium,1-Jan-17,31-Dec-17,Returned to Compliance,25-Apr-18,SOX,State Compliance achieved,Y,-,3,24-May-18
PA5300005,MUN AUTH BORO OF CARMICHAELS,Region 3,Pennsylvania,Community water system,State,Surface water,Active,-,"4,700",Medium,Inorganic Chemicals,3,"Monitoring, Regular",MR,N,Mercury,1-Jan-17,31-Dec-17,Returned to Compliance,25-Apr-18,SOX,State Compliance achieved,Y,-,3,24-May-18
PA5300005,MUN AUTH BORO OF CARMICHAELS,Region 3,Pennsylvania,Community water system,State,Surface water,Active,-,"4,700",Medium,Inorganic Chemicals,3,"Monitoring, Regular",MR,N,Nickel,1-Jan-17,31-Dec-17,Returned to Compliance,25-Apr-18,SOX,State Compliance achieved,Y,-,3,24-May-18
PA5300005,MUN AUTH BORO OF CARMICHAELS,Region 3,Pennsylvania,Community water system,State,Surface water,Active,-,"4,700",Medium,Inorganic Chemicals,3,"Monitoring, Regular",MR,N,Selenium,1-Jan-17,31-Dec-17,Returned to Compliance,25-Apr-18,SOX,State Compliance achieved,Y,-,3,24-May-18
PA5300005,MUN AUTH BORO OF CARMICHAELS,Region 3,Pennsylvania,Community water system,State,Surface water,Active,-,"4,700",Medium,Inorganic Chemicals,3,"Monitoring, Regular",MR,N,"Antimony, Total",1-Jan-17,31-Dec-17,Returned to Compliance,25-Apr-18,SOX,State Compliance achieved,Y,-,3,24-May-18
PA5300005,MUN AUTH BORO OF CARMICHAELS,Region 3,Pennsylvania,Community water system,State,Surface water,Active,-,"4,700",Medium,Inorganic Chemicals,3,"Monitoring, Regular",MR,N,"Beryllium, Total",1-Jan-17,31-Dec-17,Returned to Compliance,25-Apr-18,SOX,State Compliance achieved,Y,-,3,24-May-18
PA5300005,MUN AUTH BORO OF CARMICHAELS,Region 3,Pennsylvania,Community water system,State,Surface water,Active,-,"4,700",Medium,Inorganic Chemicals,3,"Monitoring, Regular",MR,N,"Thallium, Total",1-Jan-17,31-Dec-17,Returned to Compliance,25-Apr-18,SOX,State Compliance achieved,Y,-,3,24-May-18
OK3006112,ADAMSON RWD #8,Region 6,Oklahoma,Community water system,State,Surface water purchased,Active,-,"4,306",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,TTHM,1-Jan-17,31-Mar-17,Returned to Compliance,19-Mar-20,SOX,State Compliance achieved,-,1,2,30-Jun-17
TN0000569,QUEBECK WALLING UTILITY DIST,Region 4,Tennessee,Community water system,State,Surface water purchased,Active,-,"4,838",Medium,Lead and Copper Rule,66,Lead Consumer Notice,MR,N,Lead and Copper Rule,1-Jan-17,-,Open,-,SIE,State Public Notification requested,-,-,3,7-Oct-19
NY1600012,TUPPER LAKE V,Region 2,New York,Community water system,State,Surface water,Active,-,"5,500",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,TTHM,1-Jan-17,31-Mar-17,Returned to Compliance,9-May-17,SIF,State Public Notification received,Y,2,3,15-Aug-19
NY1600012,TUPPER LAKE V,Region 2,New York,Community water system,State,Surface water,Active,-,"5,500",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Total Haloacetic Acids (HAA5),1-Jan-17,31-Mar-17,Returned to Compliance,9-May-17,SIF,State Public Notification received,Y,2,3,15-Aug-19
KY0540936,MADISONVILLE LIGHT & WATER,Region 4,Kentucky,Community water system,State,Surface water,Active,-,"28,102",Large,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,TTHM,1-Jan-17,31-Mar-17,Returned to Compliance,1-Jul-17,SFO,State Administrative/Compliance Order with penalty issued,-,2,2,17-May-17
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,1,1-Trichloroethane",1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,18-May-20
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Carbon tetrachloride,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,18-May-20
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2-Dichloropropane",1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,18-May-20
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Trichloroethylene,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,18-May-20
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,1,2-Trichloroethane",1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,18-May-20
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Tetrachloroethylene,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,18-May-20
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,CHLOROBENZENE,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,18-May-20
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Benzene,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,18-May-20
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Toluene,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,18-May-20
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Ethylbenzene,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,18-May-20
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Styrene,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,18-May-20
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Glyphosate,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,18-May-20
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,OXAMYL,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,18-May-20
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Carbofuran,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,18-May-20
PR0004945,LAS BOCAS,Region 2,Puerto Rico,Community water system,Territory,Surface water,Active,-,"5,357",Medium,Long Term 2 Enhanced Surface Water Treatment Rule,41,Treatment Technique (SWTR and GWR),TT,Y,Long Term 2 Enhanced Surface Water Treatment Rule,1-Jan-17,31-Jan-17,Known,-,SFQ,State Civil Case filed in State court,-,-,2,1-Jun-17
WI6090462,STANLEY WATERWORKS,Region 5,Wisconsin,Community water system,State,Ground water,Active,-,"3,500",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Endrin,1-Jan-17,31-Dec-17,Returned to Compliance,25-Jul-17,SIF,State Public Notification received,N,-,3,16-Feb-18
WI6090462,STANLEY WATERWORKS,Region 5,Wisconsin,Community water system,State,Ground water,Active,-,"3,500",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,BHC-GAMMA,1-Jan-17,31-Dec-17,Returned to Compliance,25-Jul-17,SIF,State Public Notification received,N,-,3,16-Feb-18
WI6090462,STANLEY WATERWORKS,Region 5,Wisconsin,Community water system,State,Ground water,Active,-,"3,500",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Methoxychlor,1-Jan-17,31-Dec-17,Returned to Compliance,25-Jul-17,SIF,State Public Notification received,N,-,3,16-Feb-18
WI6090462,STANLEY WATERWORKS,Region 5,Wisconsin,Community water system,State,Ground water,Active,-,"3,500",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Toxaphene,1-Jan-17,31-Dec-17,Returned to Compliance,25-Jul-17,SIF,State Public Notification received,N,-,3,16-Feb-18
WI6090462,STANLEY WATERWORKS,Region 5,Wisconsin,Community water system,State,Ground water,Active,-,"3,500",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Diquat,1-Jan-17,31-Dec-17,Returned to Compliance,25-Jul-17,SIF,State Public Notification received,N,-,3,16-Feb-18
WI6090462,STANLEY WATERWORKS,Region 5,Wisconsin,Community water system,State,Ground water,Active,-,"3,500",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Glyphosate,1-Jan-17,31-Dec-17,Returned to Compliance,25-Jul-17,SIF,State Public Notification received,N,-,3,16-Feb-18
WI6090462,STANLEY WATERWORKS,Region 5,Wisconsin,Community water system,State,Ground water,Active,-,"3,500",Medium,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,OXAMYL,1-Jan-17,31-Dec-17,Returned to Compliance,25-Jul-17,SIF,State Public Notification received,N,-,3,16-Feb-18
VA6137999,WILDERNESS WTP,Region 3,Virginia,Community water system,State,Surface water,Active,-,"12,124",Large,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Total Haloacetic Acids (HAA5),1-Jan-17,31-Mar-17,Returned to Compliance,15-Aug-17,SOX,State Compliance achieved,-,1,2,18-Aug-17
CO0135291,FT COLLINS CITY OF,Region 8,Colorado,Community water system,State,Surface water,Active,-,"124,262",Extra Large,Stage 1 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Chlorine,1-Jan-17,31-Mar-17,Returned to Compliance,14-Feb-18,SOX,State Compliance achieved,Y,-,3,15-Aug-17
GA0090000,BALDWIN COUNTY,Region 4,Georgia,Community water system,State,Surface water purchased,Active,-,"23,067",Large,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Total Haloacetic Acids (HAA5),1-Jan-17,31-Mar-17,Returned to Compliance,2-Aug-17,SIF,State Public Notification received,-,1,2,26-May-17
IN5247004,NORTH LAWRENCE WATER AUTHORITY,Region 5,Indiana,Community water system,State,Surface water purchased,Active,-,"13,300",Large,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,TTHM,1-Jan-17,31-Mar-17,Returned to Compliance,1-Aug-17,SOX,State Compliance achieved,-,1,2,24-May-17
MD0170001,TOWN OF CENTREVILLE,Region 3,Maryland,Community water system,State,Ground water,Active,-,"3,322",Medium,Nitrates,3,"Monitoring, Regular",MR,N,Nitrate,1-Jan-17,31-Dec-17,Returned to Compliance,25-Apr-18,SIF,State Public Notification received,Y,-,3,31-May-18
IL0310450,CHICAGO HEIGHTS,Region 5,Illinois,Community water system,State,Surface water purchased,Active,-,"30,392",Large,Stage 1 Disinfectants and Disinfection Byproducts Rule,27,Monitoring and Reporting (DBP),MR,N,Chlorine,1-Jan-17,31-Mar-17,Returned to Compliance,10-Apr-17,SIF,State Public Notification received,Y,-,3,2-Jun-17
IL1970450,JOLIET,Region 5,Illinois,Community water system,State,Ground water,Active,-,"148,693",Extra Large,Nitrates,3,"Monitoring, Regular",MR,N,Nitrate,1-Jan-17,31-Dec-17,Returned to Compliance,30-May-18,SIF,State Public Notification received,Y,-,3,23-Feb-18
IL1970450,JOLIET,Region 5,Illinois,Community water system,State,Ground water,Active,-,"148,693",Extra Large,Nitrates,3,"Monitoring, Regular",MR,N,Nitrate,1-Jan-17,31-Dec-17,Returned to Compliance,30-May-18,SIF,State Public Notification received,Y,-,3,23-Feb-18
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Heptachlor epoxide,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,"2,4-D",1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Benzo(a)pyrene,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Total Polychlorinated Biphenyls (PCB),1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Synthetic Organic Chemicals,3,"Monitoring, Regular",MR,N,Chlordane,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2,4-Trichlorobenzene",1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"cis-1,2-Dichloroethylene",1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"Xylenes, Total",1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,DICHLOROMETHANE,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,o-Dichlorobenzene,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,p-Dichlorobenzene,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Vinyl chloride,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,1-Dichloroethylene",1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"trans-1,2-Dichloroethylene",1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2-Dichloroethane",1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,1,1-Trichloroethane",1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Carbon tetrachloride,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,"1,2-Dichloropropane",1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
WV3305411,VIENNA,Region 3,West Virginia,Community water system,State,Ground water,Active,-,"12,507",Large,Volatile Organic Chemicals,3,"Monitoring, Regular",MR,N,Trichloroethylene,1-Jan-17,31-Dec-19,Known,-,SIE,State Public Notification requested,Y,-,3,19-Feb-20
